pum_nm,u_name,unit_qty
깻잎, 100속, 100
백다다기오이,  50개,  50
백다다기오이, 100개, 100
가시오이,  50개,  50
취청오이,  50개,  50
애호박,  20개,  20
양상추(일반),   6개,   6
양상추(일반),  12개,  12
깻잎, 100속, 100
백다다기오이,  50개,  50
백다다기오이, 100개, 100
가시오이,  50개,  50
취청오이,  50개,  50
애호박,  20개,  20
양상추(일반),   6개,   6
양상추(일반),  12개,  12
깻잎, 100속, 100
백다다기오이,  50개,  50
백다다기오이, 100개, 100
가시오이,  50개,  50
취청오이,  50개,  50
애호박,  20개,  20
양상추(일반),   6개,   6
양상추(일반),  12개,  12
깻잎, 100속, 100
백다다기오이,  50개,  50
백다다기오이, 100개, 100
가시오이,  50개,  50
취청오이,  50개,  50
애호박,  20개,  20
양상추(일반),   6개,   6
양상추(일반),  12개,  12
깻잎, 100속, 100
백다다기오이,  50개,  50
백다다기오이, 100개, 100
가시오이,  50개,  50
취청오이,  50개,  50
애호박,  20개,  20
양상추(일반),   6개,   6
양상추(일반),  12개,  12
깻잎, 100속, 100
백다다기오이,  50개,  50
백다다기오이, 100개, 100
가시오이,  50개,  50
취청오이,  50개,  50
애호박,  20개,  20
양상추(일반),   6개,   6
양상추(일반),  12개,  12
깻잎, 100속, 100
백다다기오이,  50개,  50
백다다기오이, 100개, 100
가시오이,  50개,  50
취청오이,  50개,  50
애호박,  20개,  20
양상추(일반),   6개,   6
양상추(일반),  12개,  12
깻잎, 100속, 100
백다다기오이,  50개,  50
백다다기오이, 100개, 100
가시오이,  50개,  50
취청오이,  50개,  50
애호박,  20개,  20
양상추(일반),   6개,   6
양상추(일반),  12개,  12
깻잎, 100속, 100
백다다기오이,  50개,  50
백다다기오이, 100개, 100
가시오이,  50개,  50
취청오이,  50개,  50
애호박,  20개,  20
양상추(일반),   6개,   6
양상추(일반),  12개,  12
깻잎, 100속, 100
백다다기오이,  50개,  50
백다다기오이, 100개, 100
가시오이,  50개,  50
취청오이,  50개,  50
애호박,  20개,  20
양상추(일반),   6개,   6
양상추(일반),  12개,  12
깻잎, 100속, 100
백다다기오이,  50개,  50
백다다기오이, 100개, 100
가시오이,  50개,  50
취청오이,  50개,  50
애호박,  20개,  20
양상추(일반),   6개,   6
양상추(일반),  12개,  12
깻잎, 100속, 100
백다다기오이,  50개,  50
백다다기오이, 100개, 100
가시오이,  50개,  50
취청오이,  50개,  50
애호박,  20개,  20
양상추(일반),   6개,   6
양상추(일반),  12개,  12
깻잎, 100속, 100
백다다기오이,  50개,  50
백다다기오이, 100개, 100
가시오이,  50개,  50
취청오이,  50개,  50
애호박,  20개,  20
양상추(일반),   6개,   6
양상추(일반),  12개,  12
깻잎, 100속, 100
백다다기오이,  50개,  50
백다다기오이, 100개, 100
가시오이,  50개,  50
취청오이,  50개,  50
애호박,  20개,  20
양상추(일반),   6개,   6
양상추(일반),  12개,  12
깻잎, 100속, 100
백다다기오이,  50개,  50
백다다기오이, 100개, 100
가시오이,  50개,  50
취청오이,  50개,  50
애호박,  20개,  20
양상추(일반),   6개,   6
양상추(일반),  12개,  12
깻잎, 100속, 100
백다다기오이,  50개,  50
백다다기오이, 100개, 100
가시오이,  50개,  50
취청오이,  50개,  50
애호박,  20개,  20
양상추(일반),   6개,   6
양상추(일반),  12개,  12
깻잎, 100속, 100
백다다기오이,  50개,  50
백다다기오이, 100개, 100
가시오이,  50개,  50
취청오이,  50개,  50
애호박,  20개,  20
양상추(일반),   6개,   6
양상추(일반),  12개,  12
깻잎, 100속, 100
백다다기오이,  50개,  50
백다다기오이, 100개, 100
가시오이,  50개,  50
취청오이,  50개,  50
애호박,  20개,  20
양상추(일반),  12개,  12
깻잎, 100속, 100
백다다기오이,  50개,  50
백다다기오이, 100개, 100
가시오이,  50개,  50
취청오이,  50개,  50
애호박,  20개,  20
양상추(일반),  12개,  12
깻잎, 100속, 100
백다다기오이,  50개,  50
백다다기오이, 100개, 100
가시오이,  50개,  50
취청오이,  50개,  50
애호박,  20개,  20
양상추(일반),  12개,  12
깻잎, 100속, 100
백다다기오이,  50개,  50
백다다기오이, 100개, 100
가시오이,  50개,  50
취청오이,  50개,  50
애호박,  20개,  20
양상추(일반),  12개,  12
깻잎, 100속, 100
백다다기오이,  50개,  50
백다다기오이, 100개, 100
가시오이,  50개,  50
취청오이,  50개,  50
애호박,  20개,  20
양상추(일반),  12개,  12
깻잎, 100속, 100
백다다기오이,  50개,  50
백다다기오이, 100개, 100
가시오이,  50개,  50
취청오이,  50개,  50
애호박,  20개,  20
양상추(일반),  12개,  12
깻잎, 100속, 100
백다다기오이,  50개,  50
백다다기오이, 100개, 100
가시오이,  50개,  50
취청오이,  50개,  50
애호박,  20개,  20
양상추(일반),  12개,  12
깻잎, 100속, 100
백다다기오이,  50개,  50
백다다기오이, 100개, 100
가시오이,  50개,  50
취청오이,  50개,  50
애호박,  20개,  20
양상추(일반),  12개,  12
깻잎, 100속, 100
백다다기오이,  50개,  50
백다다기오이, 100개, 100
가시오이,  50개,  50
취청오이,  50개,  50
애호박,  20개,  20
양상추(일반),  12개,  12
깻잎, 100속, 100
백다다기오이,  50개,  50
백다다기오이, 100개, 100
가시오이,  50개,  50
취청오이,  50개,  50
애호박,  20개,  20
양상추(일반),  12개,  12
깻잎, 100속, 100
백다다기오이,  50개,  50
