pum_nm,sample_days
호박밤 고구마,29
홍감자,29
배추얼갈이,29
쌈배추,29
알배기배추,29
빨간양배추 국산,29
적상추,29
쫑상추,29
복수박,29
애플수박,29
노각오이,29
둥근 애호박,29
대추방울토마토,29
백색멜론,29
녹광고추,29
오이맛고추,29
롱그린고추,29
햇마늘 한지,29
햇마늘 대서,29
자주양파,29
통로메인,29
칼리플라워,29
바실,29
로케트 루꼴라,29
생고구마순,29
생취나물,29
곰취나물,29
돗나물,29
레드 치커리,29
방풍나물,29
머위잎,29
생표고,29
맛느타리버섯,29
꽃느타리버섯,29
생표고 수입,29
호랑이콩,29
찰옥수수,29
초당옥수수,29
홍자두,29
살구 개량,29
골드파인애플 수입,29
오디 국산,29
참조기,29
백조기,29
부세 수입,29
겉홍합,29
가무락(모시조개),29
피조개,29
새조개,29
피뿔고동(소라),29
가리비,29
홍게,29
활 꽃게암,29
활 꽃게수,29
중하,29
새우수입,29
멍게,29
오만둥이,29
해삼,29
건대멸치,29
건중멸치,29
건소멸치,29
건자멸치,29
건세멸치,29
건오징어 근해,29
청어,27
블랙망고수박,26
동죽,23
황색멜론,22
땅두릅(재배산),14
갯장어,14
꽃게암,12
꽃게수,11
홍매실,8
봉지 미역,6
햇마늘 남도,5
대왕자두,2
건꼴뚜기,2
