food_cd,food_nm,reason
D101-004160000-0001,국밥_돼지머리,중복 FOOD_CD
D101-004310000-0001,국밥_순대국밥,중복 FOOD_CD
D101-004500000-0001,국밥_콩나물,중복 FOOD_CD
D101-006000000-0001,기장밥,중복 FOOD_CD
D101-007000000-0001,김밥,중복 FOOD_CD
D101-007070000-0001,김밥_김치,중복 FOOD_CD
D101-007090000-0001,김밥_날치알,중복 FOOD_CD
D101-007120000-0001,김밥_돈가스,중복 FOOD_CD
D101-007280000-0001,김밥_소고기,중복 FOOD_CD
D101-007450000-0001,김밥_참치,중복 FOOD_CD
D101-007480000-0001,김밥_채소,중복 FOOD_CD
D101-007490000-0001,김밥_치즈,중복 FOOD_CD
D101-007520000-0001,김밥_풋고추,중복 FOOD_CD
D101-010080000-0001,덮밥_낙지,중복 FOOD_CD
D101-010110000-0001,덮밥_닭고기,중복 FOOD_CD
D101-010150000-0001,덮밥_돼지고기(제육),중복 FOOD_CD
D101-010240000-0001,덮밥_불고기,중복 FOOD_CD
D101-010390000-0001,덮밥_오징어,중복 FOOD_CD
D101-016000000-0001,보리밥,중복 FOOD_CD
D101-017000000-0001,볶음밥,중복 FOOD_CD
D101-017030000-0001,볶음밥_계란,중복 FOOD_CD
D101-017070000-0001,볶음밥_김치,중복 FOOD_CD
D101-017260000-0001,볶음밥_새우,중복 FOOD_CD
D101-017280000-0001,볶음밥_소고기,중복 FOOD_CD
D101-017450000-0001,볶음밥_참치,중복 FOOD_CD
D101-017480000-0001,볶음밥_채소,중복 FOOD_CD
D101-017510000-0001,볶음밥_표고버섯,중복 FOOD_CD
D101-018000000-0001,비빔밥,중복 FOOD_CD
D101-018130000-0001,비빔밥_돌솥,중복 FOOD_CD
D101-018430000-0001,비빔밥_육회,중복 FOOD_CD
D101-019460000-0001,삼각김밥_참치마요네즈,중복 FOOD_CD
D101-021000000-0001,수수밥,중복 FOOD_CD
D101-023000000-0001,알밥,중복 FOOD_CD
D101-026000000-0001,영양돌솥밥,중복 FOOD_CD
D101-028000000-0001,오므라이스,중복 FOOD_CD
D101-031000000-0001,자장밥,중복 FOOD_CD
D101-032000000-0001,잡곡밥,중복 FOOD_CD
D101-033000000-0001,잡채밥,중복 FOOD_CD
D101-035280000-0001,주먹밥_소고기,중복 FOOD_CD
D101-037000000-0001,짬뽕밥,중복 FOOD_CD
D101-038000000-0001,차조밥,중복 FOOD_CD
D101-039000000-0001,찰밥,중복 FOOD_CD
D101-042200000-0001,초밥_모듬,중복 FOOD_CD
D101-042410000-0001,초밥_유부초밥,중복 FOOD_CD
D101-044000000-0001,카레라이스,중복 FOOD_CD
D101-047000000-0001,콩나물밥,중복 FOOD_CD
D101-048020000-0001,콩밥_검정콩,중복 FOOD_CD
D101-048400000-0001,콩밥_완두콩,중복 FOOD_CD
D101-049000000-0001,하이라이스,중복 FOOD_CD
D101-050000000-0001,현미밥,중복 FOOD_CD
D101-051200000-0001,회덮밥_모듬,중복 FOOD_CD
D102-053000000-0001,가래떡,중복 FOOD_CD
D102-055040000-0001,경단_깨,중복 FOOD_CD
D102-057000000-0001,꿀떡,중복 FOOD_CD
D102-058000000-0001,모듬찰떡,중복 FOOD_CD
D102-061000000-0001,백설기,중복 FOOD_CD
D102-063040000-0001,송편_깨,중복 FOOD_CD
D102-067000000-0001,시루떡,중복 FOOD_CD
D102-069000000-0001,약식,중복 FOOD_CD
D102-070000000-0001,인절미,중복 FOOD_CD
D102-071260000-0001,절편_쑥,중복 FOOD_CD
D102-072000000-0001,증편,중복 FOOD_CD
D102-074390000-0001,찹쌀떡_팥,중복 FOOD_CD
D102-082120000-0001,도넛_링도넛,중복 FOOD_CD
D102-082290000-0001,도넛_찹쌀,중복 FOOD_CD
D102-085000000-0001,마늘빵,중복 FOOD_CD
D102-087000000-0001,머핀,중복 FOOD_CD
D102-088000000-0001,모닝빵,중복 FOOD_CD
D102-089000000-0001,모카빵,중복 FOOD_CD
D102-095000000-0001,베이글,중복 FOOD_CD
D102-096060000-0001,샌드위치_닭가슴살,중복 FOOD_CD
D102-096150000-0001,샌드위치_모듬,중복 FOOD_CD
D102-096280000-0001,샌드위치_참치,중복 FOOD_CD
D102-096300000-0001,샌드위치_채소,중복 FOOD_CD
D102-096431100-0001,샌드위치_햄_달걀,중복 FOOD_CD
D102-097000000-0001,소보로빵,중복 FOOD_CD
D102-100000000-0001,식빵,중복 FOOD_CD
D102-105000000-0001,초코소라빵,중복 FOOD_CD
D102-106000000-0001,츄러스,중복 FOOD_CD
D102-109000000-0001,카스텔라,중복 FOOD_CD
D102-110110000-0001,케이크_롤케이크,중복 FOOD_CD
D102-110210000-0001,케이크_생크림케이크,중복 FOOD_CD
D102-111000000-0001,크로와상,중복 FOOD_CD
D102-116190000-0001,파이/만주_사과파이,중복 FOOD_CD
D102-118000000-0001,페이스트리,중복 FOOD_CD
D102-120350000-0001,피자_콤비네이션피자,중복 FOOD_CD
D102-121000000-0001,피자빵,중복 FOOD_CD
D102-123000000-0001,햄버거,중복 FOOD_CD
D102-123170000-0001,햄버거_불고기버거,중복 FOOD_CD
D102-125030000-0001,호떡_견과류,중복 FOOD_CD
D103-141000000-0001,간자장,중복 FOOD_CD
D103-142160000-0001,국수_막국수,중복 FOOD_CD
D103-142270000-0001,국수_비빔국수,중복 FOOD_CD
D103-142410000-0001,국수_잔치국수,중복 FOOD_CD
D103-142420000-0001,국수_쟁반막국수,중복 FOOD_CD
D103-144180000-0001,냉면_물냉면,중복 FOOD_CD
D103-144280000-0001,냉면_비빔냉면,중복 FOOD_CD
D103-144515500-0001,냉면_회냉면_홍어,중복 FOOD_CD
