pum_nm,matched_ingredient_id,matched_ingredient_name,confidence,avg_price_per_g,sample_days
호박 고구마,70,호박,low,3.2127,29
감자 수미,52,감자,low,1.4325,29
감자 두백,52,감자,low,1.4088,29
감자 수미(햇),52,감자,low,1.4122,29
상추 적포기,28,상추,low,3.5017,29
상추 포기찹,28,상추,low,5.2469,29
토마토 완숙,166,토마토,low,1.9159,29
토마토 대저,166,토마토,low,2.3122,29
멜론 머스크,669,멜론,low,4.3492,29
멜론 가야백자,669,멜론,low,2.6439,29
깐마늘 대서,1,마늘,low,7.3407,29
오렌지 파프리카,332,오렌지,low,4.338,29
사과 부사,57,사과,low,4.931,29
사과 아오리,57,사과,low,4.5263,7
사과 미시마,57,사과,low,7.396,29
사과 미얀마,57,사과,low,5.3601,29
사과 썸머킹,57,사과,low,5.9719,9
사과 미야비,57,사과,low,3.6875,27
사과 후브락스,57,사과,low,4.0806,28
배 신고,252,배,low,4.829,29
복숭아 유명백도(백),774,복숭아,low,6.2551,6
복숭아 황도(황),774,복숭아,low,3.9824,13
복숭아 천도(천),774,복숭아,low,4.6447,29
복숭아 백도(백),774,복숭아,low,3.6605,25
복숭아 천홍(천),774,복숭아,low,5.0373,5
복숭아 호기도(백),774,복숭아,low,4.991,10
복숭아 선프레(천),774,복숭아,low,4.3344,20
복숭아 가납암(백),774,복숭아,low,10.3223,22
복숭아 경봉(백),774,복숭아,low,4.9532,3
복숭아 그레이트(백),774,복숭아,low,4.9028,2
복숭아 신선(천),774,복숭아,low,4.0493,28
복숭아 산정백도(백),774,복숭아,low,9.6622,29
복숭아 그린황도(황),774,복숭아,low,10.0118,26
복숭아 신비(천),774,복숭아,low,4.8813,26
복숭아 올인(천),774,복숭아,low,2.9295,17
복숭아 대극천(백),774,복숭아,low,18.69,29
복숭아 미황(황),774,복숭아,low,6.3952,21
복숭아 마도카(백),774,복숭아,low,8.0541,5
복숭아 대월(백),774,복숭아,low,4.9378,5
복숭아 대옥계(백),774,복숭아,low,12.5226,29
복숭아 단황도(황),774,복숭아,low,6.9916,8
복숭아 몽부사(백),774,복숭아,low,12.6509,29
복숭아 찌요마루(황),774,복숭아,low,4.9002,3
복숭아 원백도(백),774,복숭아,low,4.7042,7
