rcp_seq,rcp_nm,reason
28,새우 두부 계란찜,중복 RCP_SEQ
29,부추 콩가루 찜,중복 RCP_SEQ
31,방울토마토 소박이,조리법매칭실패:기타
32,순두부 사과 소스 오이무침,조리법매칭실패:기타
33,사과 새우 북엇국,중복 RCP_SEQ
36,저염 된장으로 맛을 낸 황태해장국,중복 RCP_SEQ
37,된장국,중복 RCP_SEQ
38,표고버섯 청경채국,중복 RCP_SEQ
95,치커리샐러드와 올리브 마늘 소스,조리법매칭실패:기타
87,스트로베리 샐러드,조리법매칭실패:기타
94,브로콜리 컬리플라워 샐러드와 두유 요거트 소스,조리법매칭실패:기타
108,오렌지와 당근 만남주스,조리법매칭실패:기타
74,돌나물 샐러드,조리법매칭실패:기타
159,석류 보쌈김치,조리법매칭실패:기타
162,파프리카 물김치,조리법매칭실패:기타
201,민들레 샐러드,조리법매칭실패:기타
386,다이어트국수,조리법매칭실패:기타
399,고추김치,조리법매칭실패:기타
669,콜라비오미자 물김치,조리법매칭실패:기타
415,매실동치미,조리법매칭실패:기타
419,연근초무침,조리법매칭실패:기타
422,사과장아찌,조리법매칭실패:기타
424,참외깍두기,조리법매칭실패:기타
425,새콤한연어샐러드,조리법매칭실패:기타
426,논우렁순무섞박지,조리법매칭실패:기타
530,세가지샐러드,조리법매칭실패:기타
573,와사비 연어초밥,조리법매칭실패:기타
577,참깨흑임 자연두부샐러드,조리법매칭실패:기타
580,콩비지포카치아 샌드위치,조리법매칭실패:기타
584,노른자크림 육회샐러드,조리법매칭실패:기타
587,두부 카프리제,조리법매칭실패:기타
441,삼색샌드위치,조리법매칭실패:기타
360,비트양파김치,조리법매칭실패:기타
364,두가지묵샐러드,조리법매칭실패:기타
369,망고샐러드,조리법매칭실패:기타
470,토마토젤리,조리법매칭실패:기타
483,과일겉절이,조리법매칭실패:기타
604,아보카도 연어샐러드,조리법매칭실패:기타
612,해산물 훈제연어롤,조리법매칭실패:기타
613,인절미 무스와 수정과 아이스크림,조리법매칭실패:기타
617,단호박생채,조리법매칭실패:기타
77,마늘드레싱을 곁들인 키위샐러드,조리법매칭실패:기타
82,건강그린 샐러드와 고소한 두유드레싱,조리법매칭실패:기타
85,케일 오미자 샐러드,조리법매칭실패:기타
96,유자향의 곤약 냉채,조리법매칭실패:기타
315,연어롤샐러드,조리법매칭실패:기타
144,겨자 오이고추소박이,조리법매칭실패:기타
146,비트무절임,조리법매칭실패:기타
150,감귤 김치,조리법매칭실패:기타
345,블루베리냉스프,조리법매칭실패:기타
346,토마토제철나물 샐러드,조리법매칭실패:기타
495,백김치닭살샐러드,조리법매칭실패:기타
650,도라지 유자청생채,조리법매칭실패:기타
654,먹물소스를 곁들인 토마토피클,조리법매칭실패:기타
659,삼삼한 롤,조리법매칭실패:기타
727,더덕얼갈이겉절이,조리법매칭실패:기타
728,과일겨자채,조리법매칭실패:기타
729,콜라비물김치,조리법매칭실패:기타
731,홍시곶감화채,조리법매칭실패:기타
400,카스텔라케이크와 해독주스,조리법매칭실패:기타
401,토마토김치,조리법매칭실패:기타
403,가지겉절이,조리법매칭실패:기타
404,저염 동치미,조리법매칭실패:기타
407,미역줄기두부무침,조리법매칭실패:기타
409,주꾸미보양샐러드,조리법매칭실패:기타
412,두부채소샐러드,조리법매칭실패:기타
413,더덕비트물김치,조리법매칭실패:기타
527,두부된장무침,조리법매칭실패:기타
529,탕평채,조리법매칭실패:기타
