ingredient_category,ingredient_role,group_type,base_amount_g,target_serving_n,ratio,base_recipe_id,target_recipe_id,label_b
양념류,조미료,no_heat,3.0,100,0.2667,1107,2823,0.655
부재료,부재료,no_heat,10.0,100,0.2,1107,2823,0.895
부재료,부재료,no_heat,5.0,100,0.3,1107,2823,0.895
부재료,부재료,no_heat,2.0,100,0.35,1107,2823,0.895
부재료,부재료,no_heat,2.5,100,0.64,1107,2823,0.895
부재료,부재료,moist_heat,2.0,100,1.5,1461,2728,0.895
양념류,조미료,moist_heat,1.0,100,1.0,1461,2728,0.655
양념류,조미료,moist_heat,15.0,100,0.2333,1461,2728,0.655
부재료,부재료,moist_heat,1.0,100,2.0,1461,2728,0.895
주재료,주재료,moist_heat,70.0,100,0.2857,1461,2728,0.933
양념류,조미료,no_heat,0.3,80,2.0833,1544,2649,0.655
양념류,조미료,no_heat,1.0,80,2.5,1544,2649,0.655
주재료,주재료,no_heat,30.0,80,2.5,1544,2649,0.933
부재료,부재료,no_heat,2.0,100,1.0,2039,2877,0.895
양념류,조미료,no_heat,2.0,100,0.5,2039,2877,0.655
양념류,조미료,no_heat,1.0,100,0.5,2039,2877,0.655
양념류,조미료,no_heat,2.0,80,1.875,1545,2649,0.655
양념류,조미료,no_heat,5.0,80,2.5,1545,2649,0.655
양념류,조미료,no_heat,2.0,80,2.5,1545,2649,0.655
양념류,조미료,no_heat,0.5,100,0.6,1449,2823,0.655
주재료,주재료,dry_heat,50.0,100,3.0,1253,2968,0.933
부재료,부재료,dry_heat,12.0,100,1.25,2179,2925,0.895
주재료,주재료,dry_heat,40.0,100,2.5,2179,2925,0.933
유지류,부재료,dry_heat,5.0,100,0.8,1253,2968,0.757
주재료,주재료,dry_heat,80.0,100,1.375,2246,2966,0.933
부재료,부재료,no_heat,2.0,100,1.0,2373,2913,0.895
양념류,조미료,no_heat,1.0,100,0.8,2373,2913,0.655
양념류,조미료,no_heat,0.5,100,0.8,2373,2913,0.655
