ingredient_name,true_category,pred_category,true_b,pred_b,b_error,b_error_pct
물김치국물,양념류,주재료,0.655,0.933,0.278,42.44
미역,양념류,부재료,0.655,0.895,0.24,36.64
완두콩드레싱 삶은 완두콩,양념류,부재료,0.655,0.895,0.24,36.64
발사믹식초,양념류,부재료,0.655,0.895,0.24,36.64
따뜻한물,양념류,부재료,0.655,0.895,0.24,36.64
물필요량,양념류,부재료,0.655,0.895,0.24,36.64
물파래,양념류,부재료,0.655,0.895,0.24,36.64
쌀엿,양념류,부재료,0.655,0.895,0.24,36.64
병아리콩 삶은 물,양념류,부재료,0.655,0.895,0.24,36.64
샐러드드레싱,양념류,부재료,0.655,0.895,0.24,36.64
청주,양념류,부재료,0.655,0.895,0.24,36.64
미원,양념류,부재료,0.655,0.895,0.24,36.64
식초,양념류,부재료,0.655,0.895,0.24,36.64
월계수잎,양념류,부재료,0.655,0.895,0.24,36.64
박력분,양념류,부재료,0.655,0.895,0.24,36.64
파인애플 통조림 국물,양념류,부재료,0.655,0.895,0.24,36.64
불린곤드레나물,양념류,부재료,0.655,0.895,0.24,36.64
밀가루,주재료,양념류,0.933,0.655,0.278,29.8
잣가루,부재료,양념류,0.895,0.655,0.24,26.82
한천가루,부재료,양념류,0.895,0.655,0.24,26.82
저염살라미,부재료,양념류,0.895,0.655,0.24,26.82
참기름,유지류,부재료,0.757,0.895,0.138,18.23
식용꽃,부재료,유지류,0.895,0.757,0.138,15.42
물,수분류,부재료,1.058,0.895,0.163,15.41
홍토마토,부재료,주재료,0.895,0.933,0.038,4.25
나박김치,부재료,주재료,0.895,0.933,0.038,4.25
체리토마토,부재료,주재료,0.895,0.933,0.038,4.25
얼린포도알,부재료,주재료,0.895,0.933,0.038,4.25
꼬막살,부재료,주재료,0.895,0.933,0.038,4.25
마늘장아찌,부재료,주재료,0.895,0.933,0.038,4.25
포도씨유,부재료,주재료,0.895,0.933,0.038,4.25
연어 필레,부재료,주재료,0.895,0.933,0.038,4.25
저지방우유,부재료,주재료,0.895,0.933,0.038,4.25
돼지편육,부재료,주재료,0.895,0.933,0.038,4.25
건포도,부재료,주재료,0.895,0.933,0.038,4.25
황태채,부재료,주재료,0.895,0.933,0.038,4.25
줄기토마토,부재료,주재료,0.895,0.933,0.038,4.25
새송이버섯,부재료,주재료,0.895,0.933,0.038,4.25
피망,부재료,주재료,0.895,0.933,0.038,4.25
명태포,부재료,주재료,0.895,0.933,0.038,4.25
냉동 새우살,부재료,주재료,0.895,0.933,0.038,4.25
순두부,부재료,주재료,0.895,0.933,0.038,4.25
말린오미자,부재료,주재료,0.895,0.933,0.038,4.25
오렌지팩쥬스,부재료,주재료,0.895,0.933,0.038,4.25
미니새송이버섯,부재료,주재료,0.895,0.933,0.038,4.25
호박고구마,부재료,주재료,0.895,0.933,0.038,4.25
두부면,부재료,주재료,0.895,0.933,0.038,4.25
먹장어,부재료,주재료,0.895,0.933,0.038,4.25
치자국수,부재료,주재료,0.895,0.933,0.038,4.25
맛김치,부재료,주재료,0.895,0.933,0.038,4.25
건조체리,부재료,주재료,0.895,0.933,0.038,4.25
무장아찌,부재료,주재료,0.895,0.933,0.038,4.25
김장김치,부재료,주재료,0.895,0.933,0.038,4.25
홀토마토,부재료,주재료,0.895,0.933,0.038,4.25
황태포,부재료,주재료,0.895,0.933,0.038,4.25
미꾸라지,부재료,주재료,0.895,0.933,0.038,4.25
에멘탈치즈,부재료,주재료,0.895,0.933,0.038,4.25
흰목이버섯,부재료,주재료,0.895,0.933,0.038,4.25
고구마칩,부재료,주재료,0.895,0.933,0.038,4.25
목이버섯,부재료,주재료,0.895,0.933,0.038,4.25
오이피클,부재료,주재료,0.895,0.933,0.038,4.25
비트알,부재료,주재료,0.895,0.933,0.038,4.25
전복살,부재료,주재료,0.895,0.933,0.038,4.25
라임즙,부재료,주재료,0.895,0.933,0.038,4.25
해조국수,부재료,주재료,0.895,0.933,0.038,4.25
오렌지주스,부재료,주재료,0.895,0.933,0.038,4.25
아욱,주재료,부재료,0.933,0.895,0.038,4.07
소면,주재료,부재료,0.933,0.895,0.038,4.07
라면,주재료,부재료,0.933,0.895,0.038,4.07
고등어,주재료,부재료,0.933,0.895,0.038,4.07
광어,주재료,부재료,0.933,0.895,0.038,4.07
올리브유,주재료,부재료,0.933,0.895,0.038,4.07
청국장,주재료,부재료,0.933,0.895,0.038,4.07
깍두기,주재료,부재료,0.933,0.895,0.038,4.07
곰피,주재료,부재료,0.933,0.895,0.038,4.07
도미,주재료,부재료,0.933,0.895,0.038,4.07
느타리버섯,주재료,부재료,0.933,0.895,0.038,4.07
삼치,주재료,부재료,0.933,0.895,0.038,4.07
돈가스,주재료,부재료,0.933,0.895,0.038,4.07
금태,주재료,부재료,0.933,0.895,0.038,4.07
석류,주재료,부재료,0.933,0.895,0.038,4.07
게살,주재료,부재료,0.933,0.895,0.038,4.07
곶감,주재료,부재료,0.933,0.895,0.038,4.07
크랜베리,주재료,부재료,0.933,0.895,0.038,4.07
건도토리묵,주재료,부재료,0.933,0.895,0.038,4.07
단호박,주재료,부재료,0.933,0.895,0.038,4.07
호떡,주재료,부재료,0.933,0.895,0.038,4.07
옥수수,주재료,부재료,0.933,0.895,0.038,4.07
대추,주재료,부재료,0.933,0.895,0.038,4.07
복숭아,주재료,부재료,0.933,0.895,0.038,4.07
바질,주재료,부재료,0.933,0.895,0.038,4.07
무순,주재료,부재료,0.933,0.895,0.038,4.07
찰깨빵,주재료,부재료,0.933,0.895,0.038,4.07
키위,주재료,부재료,0.933,0.895,0.038,4.07
유부,주재료,부재료,0.933,0.895,0.038,4.07
배,주재료,부재료,0.933,0.895,0.038,4.07
검은콩,주재료,부재료,0.933,0.895,0.038,4.07
크림,주재료,부재료,0.933,0.895,0.038,4.07
팥,주재료,부재료,0.933,0.895,0.038,4.07
