ingredient_name,category
식용유,유지류
참기름,유지류
콩나물,수분류
물,수분류
숙주나물,수분류
쌀뜨물,수분류
버터,유지류
김치,주재료
간장,주재료
국수,주재료
스파게티,주재료
밀가루,주재료
양송이버섯,주재료
우유,주재료
방울토마토,주재료
바게트빵,주재료
깍두기,주재료
고추장,주재료
쌀,주재료
소금,주재료
물엿,주재료
단호박,주재료
무,주재료
배추김치,주재료
달걀,주재료
누룽지,주재료
오징어채,주재료
배주스,주재료
팽이버섯,주재료
오징어,주재료
감자,주재료
두부,주재료
돼지고기,주재료
바나나,주재료
쌀국수,주재료
배추,주재료
들깨가루,주재료
사과,주재료
포도,주재료
느타리버섯,주재료
소고기,주재료
홍피망,주재료
연두부,주재료
열무김치,주재료
소면,주재료
올리브유,주재료
닭고기,주재료
단감,주재료
배,주재료
굴소스,주재료
총각김치,주재료
골뱅이,주재료
토마토,주재료
보리튀밥,주재료
콩고기,주재료
식초,양념류
연어,주재료
메밀국수,주재료
양파,주재료
떡,주재료
복숭아,주재료
양배추,부재료
미니파프리카,주재료
고구마,주재료
부추,부재료
오이,주재료
북어채,부재료
황태,주재료
멸치,양념류
치커리,주재료
딸기,부재료
새송이버섯,부재료
가지,부재료
브로콜리,주재료
당근,주재료
실곤약,부재료
만두피,부재료
다시마,부재료
돌나물,양념류
대구살,부재료
자색고구마,부재료
애호박,부재료
민들레 잎,부재료
호박잎,주재료
황태채,부재료
훈제오리고기,부재료
전복,주재료
검은콩,주재료
산마,주재료
풋고추,부재료
주꾸미,부재료
햄통조림,부재료
굴,부재료
콩,부재료
표고버섯,부재료
토란,주재료
홀토마토,부재료
삼치,주재료
귀리밥,부재료
밥,부재료
오이고추,부재료
광어,주재료
새우,주재료
또띠아,주재료
모시조개,부재료
연근,주재료
콜라비,주재료
찬밥,주재료
민어,주재료
현미,부재료
피망,부재료
수박껍질,부재료
신선초,부재료
마늘,부재료
라면,주재료
조기,주재료
돼지머리,주재료
코다리,주재료
풋사과,부재료
참외,주재료
백김치,주재료
생선살,부재료
미니버섯,주재료
옥수수콘,부재료
찹쌀가루,양념류
포카치아빵,부재료
대하,주재료
칵테일새우,부재료
봄동,부재료
파프리카,부재료
오징어 몸통,부재료
족발,주재료
파스타,부재료
찜갈비,부재료
도토리묵,부재료
우엉,부재료
미니 단호박,부재료
식빵,부재료
소시지,부재료
라이스페이퍼,부재료
보리쌀,부재료
오리고기,부재료
피시볼 검은콩,부재료
찹쌀,부재료
냉동고등어,부재료
볶은현미,부재료
관자,주재료
묵,부재료
흰앙금,부재료
장어,주재료
청국장가루,양념류
증편,부재료
훈제연어,부재료
체리,주재료
미숫가루,양념류
망고퓨레,부재료
줄기토마토,부재료
홍시,부재료
키위,주재료
양상추,부재료
보라로즈케일,부재료
꼬막,주재료
마늘종,부재료
곤약,주재료
미나리,부재료
대구,주재료
소고기육수,양념류
백일송이버섯,주재료
가쓰오부시,부재료
곤드레나물,양념류
바지락,부재료
두릅,주재료
검은깨,주재료
멜론,부재료
곤약국수,부재료
시금치,주재료
매실액,부재료
동태포,부재료
꽁치살,부재료
아귀,주재료
메밀면,부재료
두유,부재료
닭육수,양념류
동치미,부재료
도라지,주재료
마,주재료
고등어,주재료
문어,부재료
취나물,양념류
참치,부재료
얼갈이 배추,부재료
얼린 홍시,부재료
쌀가루,양념류
물파래,양념류
카스텔라,주재료
함초,부재료
울금가루,양념류
