axis,value_a,value_b,n_a,n_b,n_both,n_meals,p_b_given_a,p_b,lift,score,confidence
주식유형×국유형,rice,soup,14256,7505,7385,14962,0.518,0.5016,1.033,3,ok
주식유형×국유형,rice,stew,14256,4380,4359,14962,0.3058,0.2927,1.044,4,ok
주식유형×국유형,rice,없음,14256,3077,2512,14962,0.1762,0.2057,0.857,-15,ok
주식유형×국유형,noodle,없음,513,3077,411,14962,0.8012,0.2057,3.896,136,ok
주식유형×국유형,porridge,없음,118,3077,112,14962,0.9492,0.2057,4.615,153,ok
주식유형×국유형,noodle,soup,513,7505,87,14962,0.1696,0.5016,0.338,-108,ok
주식유형×국유형,bread,없음,75,3077,42,14962,0.56,0.2057,2.723,100,ok
주식유형×국유형,bread,soup,75,7505,30,14962,0.4,0.5016,0.797,-23,ok
주식유형×국유형,noodle,stew,513,4380,15,14962,0.0292,0.2927,0.1,-230,low
주식유형×국유형,porridge,stew,118,4380,3,14962,0.0254,0.2927,0.087,-244,low
주식유형×국유형,bread,stew,75,4380,3,14962,0.04,0.2927,0.137,-199,low
주식유형×국유형,porridge,soup,118,7505,3,14962,0.0254,0.5016,0.051,-298,low
주식유형×김치,rice,김치있음,14256,13421,12906,14962,0.9053,0.897,1.009,1,ok
주식유형×김치,rice,김치없음,14256,1541,1350,14962,0.0947,0.103,0.919,-8,ok
주식유형×김치,noodle,김치있음,513,13421,375,14962,0.731,0.897,0.815,-20,ok
주식유형×김치,noodle,김치없음,513,1541,138,14962,0.269,0.103,2.612,96,ok
주식유형×김치,porridge,김치있음,118,13421,101,14962,0.8559,0.897,0.954,-5,ok
주식유형×김치,bread,김치있음,75,13421,39,14962,0.52,0.897,0.58,-55,ok
주식유형×김치,bread,김치없음,75,1541,36,14962,0.48,0.103,4.66,154,ok
주식유형×김치,porridge,김치없음,118,1541,17,14962,0.1441,0.103,1.399,34,low
조리법×조리법,무침,볶음,1445,8187,1476,8187,0.1803,0.1765,1.021,2,ok
조리법×조리법,무침,무침,1179,8187,551,8187,0.0673,0.144,0.467,-76,ok
조리법×조리법,구이,무침,962,8187,1489,8187,0.1819,0.1176,1.547,44,ok
조리법×조리법,무침,튀김,845,8187,1323,8187,0.1616,0.1032,1.566,45,ok
조리법×조리법,무침,조림,715,8187,963,8187,0.1176,0.0873,1.347,30,ok
조리법×조리법,무침,찜,635,8187,942,8187,0.1151,0.0775,1.484,39,ok
조리법×조리법,구이,볶음,629,8187,671,8187,0.082,0.0769,1.066,6,ok
조리법×조리법,볶음,튀김,552,8187,576,8187,0.0704,0.0675,1.043,4,ok
조리법×조리법,볶음,볶음,492,8187,422,8187,0.0515,0.0601,0.858,-15,ok
조리법×조리법,볶음,조림,467,8187,497,8187,0.0607,0.0571,1.063,6,ok
조리법×조리법,볶음,찜,415,8187,541,8187,0.0661,0.0507,1.304,27,ok
조리법×조리법,구이,튀김,368,8187,194,8187,0.0237,0.0449,0.528,-64,ok
조리법×조리법,구이,조림,311,8187,316,8187,0.0386,0.038,1.016,2,ok
조리법×조리법,구이,찜,276,8187,120,8187,0.0147,0.0337,0.435,-83,ok
조리법×조리법,조림,튀김,273,8187,205,8187,0.025,0.0333,0.751,-29,ok
조리법×조리법,찜,튀김,242,8187,106,8187,0.0129,0.0296,0.437,-83,ok
조리법×조리법,구이,구이,215,8187,116,8187,0.0142,0.0262,0.54,-62,ok
조리법×조리법,조림,찜,205,8187,153,8187,0.0187,0.025,0.746,-29,ok
조리법×조리법,튀김,튀김,165,8187,131,8187,0.016,0.0202,0.794,-23,ok
조리법×조리법,조림,조림,118,8187,47,8187,0.0057,0.0144,0.399,-92,ok
조리법×조리법,끓이기,무침,97,8187,94,8187,0.0115,0.0118,0.972,-3,ok
조리법×조리법,찜,찜,93,8187,47,8187,0.0057,0.0113,0.508,-68,ok
조리법×조리법,끓이기,볶음,63,8187,88,8187,0.0107,0.0077,1.393,33,ok
조리법×조리법,무침,부침,62,8187,87,8187,0.0106,0.0076,1.397,33,ok
조리법×조리법,구이,끓이기,42,8187,63,8187,0.0077,0.0051,1.5,41,ok
조리법×조리법,볶음,부침,41,8187,52,8187,0.0064,0.005,1.278,25,ok
조리법×조리법,끓이기,튀김,37,8187,40,8187,0.0049,0.0045,1.085,8,ok
조리법×조리법,끓이기,조림,31,8187,50,8187,0.0061,0.0038,1.602,47,ok
조리법×조리법,끓이기,찜,28,8187,22,8187,0.0027,0.0034,0.794,-23,low
조리법×조리법,구이,부침,27,8187,20,8187,0.0024,0.0033,0.739,-30,low
조리법×조리법,부침,튀김,24,8187,6,8187,0.0007,0.0029,0.253,-138,low
조리법×조리법,부침,조림,20,8187,13,8187,0.0016,0.0025,0.647,-44,low
조리법×조리법,부침,찜,18,8187,24,8187,0.0029,0.0022,1.346,30,low
조리법×조리법,끓이기,부침,3,8187,4,8187,0.0005,0.0003,1.474,39,low
조리법×조리법,끓이기,끓이기,2,8187,1,8187,0.0001,0.0003,0.474,-75,low
조리법×조리법,부침,부침,1,8187,0,8187,0.0,0.0001,0.0,-300,low
맛계열×맛계열,달콤,매콤,54,425,63,425,0.1482,0.1261,1.176,16,ok
맛계열×맛계열,간장,매콤,52,425,46,425,0.1082,0.1218,0.888,-12,ok
맛계열×맛계열,구수,매콤,50,425,82,425,0.1929,0.1169,1.651,50,ok
맛계열×맛계열,매콤,매콤,39,425,21,425,0.0494,0.0925,0.534,-63,low
맛계열×맛계열,간장,달콤,36,425,46,425,0.1082,0.0838,1.292,26,ok
맛계열×맛계열,구수,달콤,34,425,31,425,0.0729,0.0804,0.908,-10,ok
맛계열×맛계열,간장,구수,33,425,36,425,0.0847,0.0776,1.091,9,ok
맛계열×맛계열,매콤,새콤,30,425,32,425,0.0753,0.0698,1.079,8,low
맛계열×맛계열,달콤,새콤,20,425,20,425,0.0471,0.048,0.981,-2,low
맛계열×맛계열,간장,새콤,20,425,30,425,0.0706,0.0464,1.523,42,low
맛계열×맛계열,구수,새콤,19,425,14,425,0.0329,0.0445,0.741,-30,low
맛계열×맛계열,달콤,달콤,19,425,12,425,0.0282,0.0436,0.647,-43,low
맛계열×맛계열,간장,간장,17,425,8,425,0.0188,0.0407,0.462,-77,low
맛계열×맛계열,구수,구수,16,425,3,425,0.0071,0.0374,0.189,-167,low
맛계열×맛계열,새콤,새콤,6,425,3,425,0.0071,0.0133,0.53,-63,low
