profile_key,group_name,group_type,sex,age_band,daily_kcal,protein_g,sodium_cdrr_mg,sodium_ai_mg,legal_meal_kcal,legal_meal_protein_g,default_meals,source,note
elem_low_m,초등학교 1~3학년(남),학생,남,6-8세,1700,35,1700,1100,570,11.7,1,KDRIs2025+학교급식법별표3,1식 기준은 학교급식법 시행규칙 [별표3]
elem_low_f,초등학교 1~3학년(여),학생,여,6-8세,1500,35,1700,1100,500,11.7,1,KDRIs2025+학교급식법별표3,동상
elem_low_mix,초등학교 1~3학년(혼성),학생,혼성,6-8세,1600,35,1700,1100,535,11.7,1,파생(남녀 1:1 평균),실제 성비로 조정 필요
elem_high_m,초등학교 4~6학년(남),학생,남,9-11세,2000,50,2000,1300,670,16.7,1,KDRIs2025+학교급식법별표3,
elem_high_f,초등학교 4~6학년(여),학생,여,9-11세,1800,45,2000,1300,600,15.0,1,KDRIs2025+학교급식법별표3,
elem_high_mix,초등학교 4~6학년(혼성),학생,혼성,9-11세,1900,47.5,2000,1300,635,15.9,1,파생(남녀 1:1 평균),실제 성비로 조정 필요
middle_m,중학교(남),학생,남,12-14세,2500,60,2300,1500,840,20.0,1,KDRIs2025+학교급식법별표3,
middle_f,중학교(여),학생,여,12-14세,2000,55,2300,1500,670,18.4,1,KDRIs2025+학교급식법별표3,
middle_mix,중학교(혼성),학생,혼성,12-14세,2250,57.5,2300,1500,755,19.2,1,파생(남녀 1:1 평균),실제 성비로 조정 필요
high_m,고등학교(남),학생,남,15-18세,2700,65,2300,1500,900,21.7,1,KDRIs2025+학교급식법별표3,
high_f,고등학교(여),학생,여,15-18세,2000,55,2300,1500,670,18.4,1,KDRIs2025+학교급식법별표3,
high_mix,고등학교(혼성),학생,혼성,15-18세,2350,60,2300,1500,785,20.1,1,파생(남녀 1:1 평균),실제 성비로 조정 필요
univ_m,대학생·성인(남),일반,남,19-29세,2600,65,2300,1500,,,3,KDRIs2025,법정 1식 기준 없음 — 끼니 비율로 배분
univ_f,대학생·성인(여),일반,여,19-29세,2000,55,2300,1500,,,3,KDRIs2025,동상
univ_mix,대학생·성인(혼성),일반,혼성,19-29세,2300,60,2300,1500,,,3,파생(남녀 1:1 평균),실제 성비로 조정 필요
office_m,사무직 회사원(남),일반,남,30-49세,2500,65,2300,1500,,,1,KDRIs2025,KDRIs 기준 신체활동수준은 '저활동적' — 사무직에 부합
office_f,사무직 회사원(여),일반,여,30-49세,1900,50,2300,1500,,,1,KDRIs2025,동상
office_mix,사무직 회사원(혼성),일반,혼성,30-49세,2200,57.5,2300,1500,,,1,파생(남녀 1:1 평균),실제 성비로 조정 필요
senior_m,노인 65~74세(남),노인,남,65-74세,2000,60,1900,1300,,,3,KDRIs2025,
senior_f,노인 65~74세(여),노인,여,65-74세,1600,50,1900,1300,,,3,KDRIs2025,
senior_mix,노인 65~74세(혼성),노인,혼성,65-74세,1800,55,1900,1300,,,3,파생(남녀 1:1 평균),실제 성비로 조정 필요
senior75_m,노인 75세 이상(남),노인,남,75세 이상,1900,60,1800,1200,,,3,KDRIs2025,
senior75_f,노인 75세 이상(여),노인,여,75세 이상,1500,50,1800,1200,,,3,KDRIs2025,
senior75_mix,노인 75세 이상(혼성),노인,혼성,75세 이상,1700,55,1800,1200,,,3,파생(남녀 1:1 평균),실제 성비로 조정 필요
patient_general_m,병원 환자 일반식(남),환자,남,30-49세 준용,2500,65,2300,1500,,,3,KDRIs2025 성인 준용,⚠치료식 아님 — 질환별 기준은 의료진·병원 영양팀 확정 사항
patient_general_f,병원 환자 일반식(여),환자,여,30-49세 준용,1900,50,2300,1500,,,3,KDRIs2025 성인 준용,⚠치료식 아님 — 동상
patient_general_mix,병원 환자 일반식(혼성),환자,혼성,30-49세 준용,2200,57.5,2300,1500,,,3,파생(남녀 1:1 평균),⚠치료식 아님 — 동상
