pair_id,group_type,small_recipe_id,large_recipe_id,composite_score,ingredient_name,base_amount_g,role,target_amount_g,target_serving_size,per_serving_grams,ratio_actual,predicted_amount_g,ratio_baseline
PAIR_0213,dry_heat,A2106,LS_A0436,0.824264,튀김가루,12.0,조미료,1500.0,100,15.0,1.25,1200.0,1.0
PAIR_0236,dry_heat,A2173,LS_A0477,0.824264,조기,80.0,부재료,11000.0,100,110.0,1.375,8000.0,1.0
PAIR_0240,dry_heat,A1180,LS_A0479,0.824264,식용유,5.0,조미료,400.0,100,4.0,0.8,500.0,1.0
PAIR_0230,dry_heat,A1322,LS_A0459,0.802492,달걀,20.0,부재료,1000.0,100,10.0,0.5,2000.0,1.0
PAIR_0230,dry_heat,A1322,LS_A0459,0.802492,식용유,10.0,조미료,500.0,100,5.0,0.5,1000.0,1.0
PAIR_0134,dry_heat,A2092,LS_A0297,0.796147,오징어,60.0,부재료,10000.0,100,100.0,1.6666666666666667,6000.0,1.0
PAIR_0134,dry_heat,A2092,LS_A0297,0.796147,당근,5.0,부재료,1000.0,100,10.0,2.0,500.0,1.0
PAIR_0134,dry_heat,A2092,LS_A0297,0.796147,양배추,40.0,부재료,4000.0,100,40.0,1.0,4000.0,1.0
PAIR_0134,dry_heat,A2092,LS_A0297,0.796147,양파,10.0,부재료,2000.0,100,20.0,2.0,1000.0,1.0
PAIR_0134,dry_heat,A2092,LS_A0297,0.796147,대파,5.0,부재료,500.0,100,5.0,1.0,500.0,1.0
PAIR_0134,dry_heat,A2092,LS_A0297,0.796147,설탕,1.0,조미료,200.0,100,2.0,2.0,100.0,1.0
PAIR_0134,dry_heat,A2092,LS_A0297,0.796147,마늘,1.0,부재료,200.0,100,2.0,2.0,100.0,1.0
PAIR_0134,dry_heat,A2092,LS_A0297,0.796147,고춧가루,2.0,조미료,400.0,100,4.0,2.0,200.0,1.0
PAIR_0134,dry_heat,A2092,LS_A0297,0.796147,참깨,0.3,부재료,30.0,100,0.3,1.0,30.0,1.0
PAIR_0134,dry_heat,A2092,LS_A0297,0.796147,참기름,1.0,조미료,150.0,100,1.5,1.5,100.0,1.0
PAIR_0210,dry_heat,A1449,LS_A0433,0.78107,튀김가루,20.0,조미료,2000.0,100,20.0,1.0,2000.0,1.0
PAIR_0210,dry_heat,A1449,LS_A0433,0.78107,생강,0.5,부재료,30.0,100,0.3,0.6,50.0,1.0
PAIR_0218,dry_heat,A0103,LS_A0441,0.769697,당근,20.0,부재료,1100.0,100,11.0,0.55,2000.0,1.0
PAIR_0218,dry_heat,A0103,LS_A0441,0.769697,양파,20.0,부재료,2200.0,100,22.0,1.1,2000.0,1.0
PAIR_0218,dry_heat,A0103,LS_A0441,0.769697,소금,0.5,조미료,100.0,100,1.0,2.0,50.0,1.0
PAIR_0218,dry_heat,A0103,LS_A0441,0.769697,밀가루,20.0,조미료,1000.0,100,10.0,0.5,2000.0,1.0
PAIR_0218,dry_heat,A0103,LS_A0441,0.769697,달걀,50.0,부재료,3000.0,100,30.0,0.6,5000.0,1.0
PAIR_0139,dry_heat,A1229,LS_A0301,0.766129,양파,10.0,부재료,1000.0,100,10.0,1.0,1000.0,1.0
PAIR_0139,dry_heat,A1229,LS_A0301,0.766129,청피망,5.0,부재료,500.0,100,5.0,1.0,500.0,1.0
PAIR_0139,dry_heat,A1229,LS_A0301,0.766129,설탕,1.0,조미료,50.0,100,0.5,0.5,100.0,1.0
PAIR_0139,dry_heat,A1229,LS_A0301,0.766129,참깨,0.3,부재료,30.0,100,0.3,1.0,30.0,1.0
PAIR_0216,dry_heat,A1873,LS_A0437,0.755492,빵가루,15.0,조미료,1500.0,100,15.0,1.0,1500.0,1.0
PAIR_0192,dry_heat,A1066,LS_A0408,0.753553,마늘,1.0,부재료,200.0,100,2.0,2.0,100.0,1.0
PAIR_0192,dry_heat,A1066,LS_A0408,0.753553,설탕,1.0,조미료,200.0,100,2.0,2.0,100.0,1.0
PAIR_0241,dry_heat,A2147,LS_A0482,0.74641,식용유,1.0,조미료,200.0,100,2.0,2.0,100.0,1.0
PAIR_0144,dry_heat,A1189,LS_A0302,0.731044,가지,60.0,부재료,8000.0,100,80.0,1.3333333333333333,6000.0,1.0
PAIR_0144,dry_heat,A1189,LS_A0302,0.731044,양파,30.0,부재료,1500.0,100,15.0,0.5,3000.0,1.0
PAIR_0144,dry_heat,A1189,LS_A0302,0.731044,식용유,3.0,조미료,500.0,100,5.0,1.6666666666666667,300.0,1.0
PAIR_0144,dry_heat,A1189,LS_A0302,0.731044,참깨,0.5,부재료,70.0,100,0.7,1.4,50.0,1.0
PAIR_0131,dry_heat,A1665,LS_A0296,0.722116,설탕,1.0,조미료,200.0,100,2.0,2.0,100.0,1.0
PAIR_0131,dry_heat,A1665,LS_A0296,0.722116,마늘,1.0,부재료,80.0,100,0.8,0.8,100.0,1.0
PAIR_0131,dry_heat,A1665,LS_A0296,0.722116,생강,0.5,부재료,30.0,100,0.3,0.6,50.0,1.0
PAIR_0131,dry_heat,A1665,LS_A0296,0.722116,진간장,3.0,양념,200.0,100,2.0,0.6666666666666666,300.0,1.0
PAIR_0131,dry_heat,A1665,LS_A0296,0.722116,식용유,1.0,조미료,200.0,100,2.0,2.0,100.0,1.0
PAIR_0149,dry_heat,A1400,LS_A0311,0.718198,느타리버섯,40.0,부재료,5000.0,100,50.0,1.25,4000.0,1.0
PAIR_0149,dry_heat,A1400,LS_A0311,0.718198,당근,10.0,부재료,1000.0,100,10.0,1.0,1000.0,1.0
PAIR_0149,dry_heat,A1400,LS_A0311,0.718198,식용유,5.0,조미료,500.0,100,5.0,1.0,500.0,1.0
PAIR_0221,dry_heat,A1037,LS_A0447,0.705674,식용유,10.0,조미료,2000.0,100,20.0,2.0,1000.0,1.0
PAIR_0075,moist_heat,A1388,LS_A0233,0.907093,멸치,2.0,부재료,300.0,100,3.0,1.5,200.0,1.0
PAIR_0075,moist_heat,A1388,LS_A0233,0.907093,마늘,1.0,부재료,100.0,100,1.0,1.0,100.0,1.0
PAIR_0208,moist_heat,A2037,LS_A0430,0.805195,연근,35.0,부재료,2000.0,100,20.0,0.5714285714285714,3500.0,1.0
PAIR_0208,moist_heat,A2037,LS_A0430,0.805195,설탕,1.0,조미료,150.0,100,1.5,1.5,100.0,1.0
PAIR_0208,moist_heat,A2037,LS_A0430,0.805195,참기름,1.0,조미료,50.0,100,0.5,0.5,100.0,1.0
PAIR_0253,moist_heat,A2037,LS_A0546,0.800892,연근,35.0,부재료,6000.0,100,60.0,1.7142857142857142,3500.0,1.0
PAIR_0253,moist_heat,A2037,LS_A0546,0.800892,연근,35.0,부재료,6000.0,100,60.0,1.7142857142857142,3500.0,1.0
PAIR_0253,moist_heat,A2037,LS_A0546,0.800892,참깨,0.3,부재료,50.0,100,0.5,1.6666666666666667,30.0,1.0
PAIR_0253,moist_heat,A2037,LS_A0546,0.800892,참깨,0.3,부재료,50.0,100,0.5,1.6666666666666667,30.0,1.0
PAIR_0253,moist_heat,A2037,LS_A0546,0.800892,참기름,1.0,조미료,100.0,100,1.0,1.0,100.0,1.0
PAIR_0253,moist_heat,A2037,LS_A0546,0.800892,참기름,1.0,조미료,100.0,100,1.0,1.0,100.0,1.0
PAIR_0125,moist_heat,A1545,LS_A0283,0.800454,두부,20.0,부재료,3000.0,100,30.0,1.5,2000.0,1.0
PAIR_0125,moist_heat,A1545,LS_A0283,0.800454,마늘,1.0,부재료,200.0,100,2.0,2.0,100.0,1.0
PAIR_0251,moist_heat,A1847,LS_A0540,0.8,삼치,70.0,부재료,10000.0,100,100.0,1.4285714285714286,7000.0,1.0
PAIR_0251,moist_heat,A1847,LS_A0540,0.8,삼치,70.0,부재료,10000.0,100,100.0,1.4285714285714286,7000.0,1.0
