pair_id,small_recipe_id,large_recipe_id,group_type,cooking_method,ingredient_name,role,derived_category,N,base,Y,unit,ratio,log_ratio,log_N,composite_score
A1034_LS_A0328,A1034,LS_A0328,비가열,절이기(담그기),마늘,seasoning,,100,3.0,80.0,g,0.26666666666666666,-1.3217558399823195,4.605170185988092,0.9222
A1034_LS_A0328,A1034,LS_A0328,비가열,절이기(담그기),미나리,sub,,100,10.0,200.0,g,0.2,-1.6094379124341003,4.605170185988092,0.9222
A1034_LS_A0328,A1034,LS_A0328,비가열,절이기(담그기),실파,sub,,100,5.0,150.0,g,0.3,-1.2039728043259361,4.605170185988092,0.9222
A1034_LS_A0328,A1034,LS_A0328,비가열,절이기(담그기),홍고추,sub,,100,2.0,70.0,g,0.35,-1.0498221244986778,4.605170185988092,0.9222
A1034_LS_A0328,A1034,LS_A0328,비가열,절이기(담그기),고춧가루,sub,,100,2.5,160.0,g,0.64,-0.4462871026284195,4.605170185988092,0.9222
A1388_LS_A0233,A1388,LS_A0233,습열,끓이기(삶기),멸치,sub,,100,2.0,300.0,g,1.5,0.4054651081081644,4.605170185988092,0.9071
A1388_LS_A0233,A1388,LS_A0233,습열,끓이기(삶기),마늘,seasoning,,100,1.0,100.0,g,1.0,0.0,4.605170185988092,0.9071
A1388_LS_A0233,A1388,LS_A0233,습열,끓이기(삶기),된장,seasoning,,100,15.0,350.0,g,0.23333333333333334,-1.455287232606842,4.605170185988092,0.9071
A1388_LS_A0233,A1388,LS_A0233,습열,끓이기(삶기),대파,sub,,100,1.0,200.0,g,2.0,0.6931471805599453,4.605170185988092,0.9071
A1388_LS_A0233,A1388,LS_A0233,습열,끓이기(삶기),냉이,main,,100,70.0,2000.0,g,0.2857142857142857,-1.252762968495368,4.605170185988092,0.9071
A1471_LS_A0138,A1471,LS_A0138,비가열,무치기,참깨,seasoning,,80,0.3,50.0,g,2.0833333333333335,0.7339691750802005,4.382026634673881,0.8899
A1471_LS_A0138,A1471,LS_A0138,비가열,무치기,마늘,seasoning,,80,1.0,200.0,g,2.5,0.9162907318741551,4.382026634673881,0.8899
A1471_LS_A0138,A1471,LS_A0138,비가열,무치기,도라지,main,,80,30.0,6000.0,g,2.5,0.9162907318741551,4.382026634673881,0.8899
A1966_LS_A0385,A1966,LS_A0385,비가열,무치기,대파,sub,,100,2.0,200.0,g,1.0,0.0,4.605170185988092,0.8536
A1966_LS_A0385,A1966,LS_A0385,비가열,무치기,마늘,seasoning,,100,2.0,100.0,g,0.5,-0.6931471805599453,4.605170185988092,0.8536
A1966_LS_A0385,A1966,LS_A0385,비가열,무치기,소금,seasoning,,100,1.0,50.0,g,0.5,-0.6931471805599453,4.605170185988092,0.8536
A1472_LS_A0138,A1472,LS_A0138,비가열,무치기,설탕,seasoning,,80,2.0,300.0,g,1.875,0.6286086594223741,4.382026634673881,0.8535
A1472_LS_A0138,A1472,LS_A0138,비가열,무치기,고추장,seasoning,,80,5.0,1000.0,g,2.5,0.9162907318741551,4.382026634673881,0.8535
A1472_LS_A0138,A1472,LS_A0138,비가열,무치기,식초,seasoning,,80,2.0,400.0,g,2.5,0.9162907318741551,4.382026634673881,0.8535
A1376_LS_A0328,A1376,LS_A0328,비가열,절이기(담그기),생강,seasoning,,100,0.5,30.0,g,0.6,-0.5108256237659907,4.605170185988092,0.8477
A1180_LS_A0479,A1180,LS_A0479,건열,굽기,가자미,main,,100,50.0,15000.0,g,3.0,1.0986122886681098,4.605170185988092,0.8243
A2106_LS_A0436,A2106,LS_A0436,건열,튀기기,튀김가루,sub,,100,12.0,1500.0,g,1.25,0.22314355131420976,4.605170185988092,0.8243
A2106_LS_A0436,A2106,LS_A0436,건열,튀기기,오징어,main,,100,40.0,10000.0,g,2.5,0.9162907318741551,4.605170185988092,0.8243
A1180_LS_A0479,A1180,LS_A0479,건열,굽기,식용유,sub,oil_fat,100,5.0,400.0,g,0.8,-0.2231435513142097,4.605170185988092,0.8243
A2173_LS_A0477,A2173,LS_A0477,건열,굽기,조기,main,,100,80.0,11000.0,g,1.375,0.3184537311185346,4.605170185988092,0.8243
A2300_LS_A0424,A2300,LS_A0424,비가열,절이기(담그기),고춧가루,sub,,100,2.0,200.0,g,1.0,0.0,4.605170185988092,0.8082
A2300_LS_A0424,A2300,LS_A0424,비가열,절이기(담그기),마늘,seasoning,,100,1.0,80.0,g,0.8,-0.2231435513142097,4.605170185988092,0.8082
