ingredient_category,group_type,power_law_a,power_law_b,scaling_exponent,se_b,p_value,confidence_interval_lower,confidence_interval_upper,sample_size,estimation_method,version,source,is_active,created_at
주재료,dry_heat,7.9677,0.933,0.933,0.011,0.001,0.911,0.954,145,mixedlm,1,통계분석,True,2026-03-28 00:00:00
주재료,moist_heat,7.9677,0.933,0.933,0.011,0.001,0.911,0.954,145,mixedlm,1,통계분석,True,2026-03-28 00:00:00
주재료,no_heat,7.9677,0.933,0.933,0.011,0.001,0.911,0.954,145,mixedlm,1,통계분석,True,2026-03-28 00:00:00
부재료,dry_heat,7.9677,0.895,0.895,0.021,0.001,0.854,0.937,390,mixedlm,1,통계분석,True,2026-03-28 00:00:00
부재료,moist_heat,7.9677,0.895,0.895,0.021,0.001,0.854,0.937,390,mixedlm,1,통계분석,True,2026-03-28 00:00:00
부재료,no_heat,7.9677,0.895,0.895,0.021,0.001,0.854,0.937,390,mixedlm,1,통계분석,True,2026-03-28 00:00:00
양념류,dry_heat,7.9677,0.655,0.655,0.02,0.001,0.615,0.694,415,mixedlm,1,통계분석,True,2026-03-28 00:00:00
양념류,moist_heat,7.9677,0.655,0.655,0.02,0.001,0.615,0.694,415,mixedlm,1,통계분석,True,2026-03-28 00:00:00
양념류,no_heat,7.9677,0.655,0.655,0.02,0.001,0.615,0.694,415,mixedlm,1,통계분석,True,2026-03-28 00:00:00
수분류,dry_heat,7.9677,1.058,1.058,0.027,0.001,1.005,1.112,17,mixedlm,1,통계분석,True,2026-03-28 00:00:00
수분류,moist_heat,7.9677,1.058,1.058,0.027,0.001,1.005,1.112,17,mixedlm,1,통계분석,True,2026-03-28 00:00:00
수분류,no_heat,7.9677,1.058,1.058,0.027,0.001,1.005,1.112,17,mixedlm,1,통계분석,True,2026-03-28 00:00:00
유지류,dry_heat,7.9677,0.757,0.757,0.026,0.001,0.706,0.808,47,mixedlm,1,통계분석,True,2026-03-28 00:00:00
유지류,moist_heat,7.9677,0.757,0.757,0.026,0.001,0.706,0.808,47,mixedlm,1,통계분석,True,2026-03-28 00:00:00
유지류,no_heat,7.9677,0.757,0.757,0.026,0.001,0.706,0.808,47,mixedlm,1,통계분석,True,2026-03-28 00:00:00
