group_type,category,n_eval_slots,nn_mape,lookup_mape,delta,b_true,b_lookup,note
dry_heat,부재료,532,421.31256427531855,0.9852375190957148,-420.3273267562228,0.7637,0.766,
dry_heat,수분류,21,513.7276604062035,1.1434428039051239,-512.5842176022984,0.753,0.7503,
dry_heat,양념류,385,214.0028866235312,1.5004967056311571,-212.50238991790005,0.7478,0.74425,
dry_heat,유지류,196,57.676439413002555,0.46992758835418796,-57.206511824648366,0.7415,0.7426,
dry_heat,주재료,245,39.95571423550041,1.143449024886501,-38.81226521061391,0.7386,0.7359,
moist_heat,부재료,826,57.83696186167276,0.974921553821887,-56.862040307850876,0.766,0.7637,
moist_heat,수분류,98,81.50923495389976,1.157669312491709,-80.35156564140806,0.7503,0.753,
moist_heat,양념류,609,38.745790318706746,3.3396515548718577,-35.40613876383489,0.7403,0.748,
moist_heat,유지류,49,45.107676423325834,0.23407232662548827,-44.87360409670035,0.7426,0.7420500000000001,
moist_heat,주재료,294,71.13515009888175,0.5770365397135417,-70.5581135591682,0.7359,0.73725,
no_heat,양념류,574,34.47741882726291,1.7516956148662635,-32.725723212396645,0.7482,0.74405,
no_heat,유지류,84,22.23623685893558,0.23407013199868656,-22.002166726936895,0.7426,0.7420500000000001,
no_heat,주재료,63,36.99568472211323,0.5770399870853575,-36.418644735027875,0.7359,0.73725,
