group_type,category,n_eval_slots,nn_mape,lookup_mape,delta,b_true,b_lookup,note
dry_heat,부재료,532,47.93748743552014,16.18773601108924,-31.7497514244309,0.7637,0.766,
dry_heat,수분류,21,42.229515030270534,7.04261390935807,-35.18690112091247,0.753,0.7503,
dry_heat,양념류,385,28.802573464133523,15.990775529440349,-12.811797934693175,0.7478,0.74425,
dry_heat,유지류,196,43.02798503515672,20.302673927223196,-22.72531110793352,0.7415,0.7426,
dry_heat,주재료,245,51.48882004679466,18.31922627225214,-33.16959377454252,0.7386,0.7359,
moist_heat,부재료,826,41.00012392455094,17.90176280762901,-23.098361116921932,0.766,0.7637,
moist_heat,수분류,98,68.89054215684229,23.901390056220855,-44.98915210062143,0.7503,0.753,
moist_heat,양념류,609,48.37848415907185,20.18595791019634,-28.192526248875513,0.7403,0.748,
moist_heat,유지류,49,23.627904239965943,15.825778002641638,-7.802126237324305,0.7426,0.7420500000000001,
moist_heat,주재료,294,55.25514179346512,15.663035213947296,-39.592106579517825,0.7359,0.73725,
no_heat,양념류,574,43.619629065749535,19.47007654851322,-24.149552517236316,0.7482,0.74405,
no_heat,유지류,84,21.1056031641506,12.285637979706127,-8.819965184444474,0.7426,0.7420500000000001,
no_heat,주재료,63,41.99919851999434,16.37666320043897,-25.622535319555368,0.7359,0.73725,
