INGR_NM,UNIT_NM,COUNT,VALUES
달걀,개,16,"[60.0, 50.0, 50.0, 60.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0]"
설탕,작은술,11,"[5.0, 6.0, 5.0, 6.0, 5.0, 6.0, 6.0, 5.0, 10.0, 5.0, 5.0]"
사과,개,7,"[150.0, 150.0, 240.0, 180.0, 160.0, 150.0, 250.0]"
식초,작은술,7,"[5.0, 5.0, 16.0, 5.0, 4.5, 4.0, 5.0]"
마늘,작은술,7,"[6.0, 6.0, 5.0, 5.0, 5.0, 6.0, 5.0]"
홍고추,개,5,"[20.0, 10.0, 10.0, 10.0, 5.0]"
고춧가루,작은술,5,"[6.0, 4.0, 5.0, 4.0, 5.0]"
청양고추,개,5,"[10.0, 20.0, 5.0, 10.0, 10.0]"
레몬즙,작은술,5,"[4.5, 5.0, 5.0, 5.0, 7.0]"
가지,개,4,"[140.0, 100.0, 300.0, 100.0]"
마늘,쪽,4,"[4.0, 5.0, 5.0, 5.0]"
마늘,개,4,"[5.0, 5.0, 5.0, 5.0]"
올리브유,작은술,4,"[5.0, 5.0, 6.0, 5.0]"
참기름,작은술,4,"[6.0, 4.0, 6.0, 7.0]"
두유,큰술,4,"[15.0, 15.0, 15.0, 15.0]"
두부,모,4,"[320.0, 400.0, 360.0, 350.0]"
양파,개,4,"[160.0, 120.0, 300.0, 200.0]"
오이,개,4,"[210.0, 80.0, 160.0, 160.0]"
양상추,장,3,"[35.0, 35.0, 40.0]"
식초,큰술,3,"[15.0, 15.0, 15.0]"
저염간장,작은술,3,"[4.5, 5.0, 4.0]"
치커리,줄기,3,"[3.0, 3.3333333333333335, 3.3333333333333335]"
토마토,개,3,"[100.0, 200.0, 133.33333333333334]"
표고버섯,개,3,"[10.0, 7.5, 15.0]"
황파프리카,개,3,"[100.0, 93.33333333333331, 100.0]"
새송이버섯,개,3,"[10.0, 5.0, 33.333333333333336]"
소금,작은술,3,"[10.0, 4.0, 5.0]"
계란,개,3,"[43.333333333333336, 66.66666666666667, 50.0]"
무,개,3,"[750.0, 700.0, 600.0]"
간장,큰술,3,"[15.0, 15.0, 15.0]"
배추,개,3,"[700.0, 600.0, 600.0000000000024]"
당근,개,3,"[200.0, 150.0, 150.0]"
방울토마토,개,3,"[30.0, 10.0, 10.0]"
참기름,큰술,2,"[15.0, 15.0]"
청경채,개,2,"[20.0, 12.5]"
청파프리카,개,2,"[100.0, 100.0]"
고추장,작은술,2,"[5.0, 5.0]"
카놀라유,작은술,2,"[4.5, 4.5]"
블루베리,큰술,2,"[15.0, 15.0]"
키위,개,2,"[60.0, 100.0]"
딸기,개,2,"[10.0, 20.0]"
검은깨,작은술,2,"[4.800000000000001, 5.0]"
표고버섯,장,2,"[10.0, 10.0]"
플레인요거트,개,2,"[85.0, 70.0]"
감자,개,2,"[160.0, 100.0]"
홍파프리카,개,2,"[100.0, 100.0]"
된장,큰술,2,"[13.333333333333334, 15.0]"
레몬즙,큰술,2,"[15.0, 15.0]"
유자청,큰술,2,"[15.0, 15.000000000000004]"
밥,컵,2,"[180.0, 210.0]"
생강즙,작은술,2,"[4.5, 5.0]"
설탕,큰술,2,"[10.0, 15.0]"
간장,작은술,2,"[4.0, 4.5]"
소시지,개,2,"[20.0, 30.0]"
식용유,작은술,2,"[10.0, 5.0]"
식용유,큰술,2,"[15.0, 15.0]"
아몬드,알,2,"[2.0, 1.6666666666666667]"
베이컨,장,2,"[10.0, 10.0]"
매실액,작은술,2,"[6.0, 5.0]"
연두부,모,2,"[100.0, 120.0]"
오렌지,개,2,"[200.0, 200.0]"
마요네즈,작은술,2,"[5.0, 5.0]"
올리고당,작은술,2,"[5.0, 4.5]"
올리브오일,큰술,2,"[12.5, 15.0]"
흑임자,작은술,2,"[6.0, 6.0]"
