INGR_NM,GRAMS,UNIT_EXPR
연두부,75.0,3/4모
칵테일새우,20.0,5마리
달걀,30.0,1/2개
생크림,13.0,1큰술
설탕,5.0,1작은술
무염버터,5.0,1작은술
시금치,10.0,3줄기
날콩가루,7.0,1⅓작은술
저염간장,3.0,2/3작은술
대파,5.0,1작은술
마늘,2.0,1/2쪽
고춧가루,2.0,1/3작은술
요리당,2.0,1/3작은술
참기름,2.0,1/3작은술
방울토마토,150.0,5개
양파,10.0,3×1cm
부추,10.0,5줄기
고춧가루,4.0,1작은술
멸치액젓,3.0,2/3작은술
마늘,2.5,1/2쪽
매실액,2.0,1/3작은술
설탕,2.0,1/3작은술
오이,70.0,1/3개
땅콩,10.0,1큰술
순두부,40.0,1/8봉지
사과,50.0,1/3개
북어채,25.0,15개
새우,10.0,3마리
사과,30.0,1/5개
양파,40.0,1/4개
표고버섯,20.0,2장
콩나물,30.0,1/6봉지
무,30.0,5×3×2cm
저염된장,10.0,2작은술
청양고추,5.0,1/2개
마늘,2.0,1/3작은술
두부,20.0,2×2×2cm
애느타리버섯,20.0,4가닥
감자,10.0,4×3×1cm
양파,10.0,2×1cm
대파,10.0,5cm
된장,5.0,1작은술
멸치,5.0,3마리
양파,10.0,2×1cm
국간장,5.0,1작은술
청경채,20.0,1개
표고버섯,20.0,2장
마늘,2.0,1/3작은술
치커리,30.0,10줄기
적양배추,15.0,5×3cm
양파,10.0,2×1cm
당근,5.0,3×1×1cm
올리브유,10.0,2작은술
식초,5.0,1작은술
설탕,5.0,1작은술
마늘,5.0,1쪽
딸기,70.0,7개
플레인요거트,85.0,1개
양상추,70.0,2장
메추리알,30.0,3개
블루베리,15.0,1큰술
감자,80.0,1/2개
소스,5.0,1작은술
아몬드,2.0,1알
설탕,2.0,1/3작은술
우유,10.0,2작은술
새송이버섯,70.0,7개
올리브유,10.0,2작은술
치커리,10.0,3줄기
연두부,30.0,1/4모
양파,10.0,2작은술
오이피클,10.0,2작은술
올리브유,2.0,1/3작은술
식초,5.0,1작은술
레몬즙,3.0,2/3작은술
머스터드,3.0,2/3작은술
꿀,2.0,1/3작은술
가지,20.0,3cm
호박,50.0,1/3개
새송이버섯,15.0,3개
양파,15.0,1/8개
발사믹크레마,15.0,1큰술
파프리카,3.0,3×1cm
파프리카,3.0,3×1cm
청피망,3.0,3×1cm
저염간장,5.0,1작은술
식초,15.0,1큰술
설탕,10.0,1큰술
레몬즙,5.0,1작은술
브로콜리,40.0,1/5송이
컬리플라워,40.0,1/3송이
적양파,10.0,2×1cm
강낭콩,5.0,1작은술
두유,50.0,3⅓큰술
플레인요거트,20.0,1⅓큰술
레몬즙,5.0,1작은술
당근,100.0,1/2개
오렌지,100.0,1/2개
저염소금,4.0,1작은술
식초,8.0,1/2작은술
석류,200.0,1/2개
잣,4.0,1작은술
아몬드,4.0,1작은술
해바라기씨,4.0,1작은술
호두,4.0,1작은술
호박씨,4.0,1작은술
오이,20.0,1/4개
흑임자,6.0,1작은술
호두,6.0,1알
오이,20.0,1/8개
토마토,50.0,1/2개
달걀,50.0,1개
만두피,4.0,2장
브로콜리,100.0,1/4개
표고버섯,20.0,2개
참기름,2.0,1/2작은술
저염간장,4.0,1작은술
함초,3.0,1/2작은술
노루궁뎅이버섯,25.0,1/2개
다시마,17.0,15cm
파,140.0,1/2개
양파,150.0,1/2개
무,250.0,1/3개
모시조개,150.0,3/4컵
간장,30.0,2큰술
달걀,50.0,1개
청고추,20.0,1개
두부,320.0,1모
쌀뜨물,300.0,1½컵
된장,20.0,1½큰술
청양고추,10.0,1/2개
홍고추,5.0,1/4개
대파,10.0,2cm
고춧가루,5.0,1작은술
소시지,10.0,1/2개
우민찌,5.0,1작은술
저염된장,15.0,1큰술
감자,100.0,1개
양배추,150.0,1/2개
당근,15.0,1/10개
두부,20.0,1/20모
청양고추,5.0,1개
부침가루,45.0,3큰술
달걀,60.0,1개
식용유,15.0,1큰술
오렌지즙,15.0,1큰술
간장,2.0,1/2작은술
식초,10.0,2작은술
미니새송이버섯,60.0,7개
마요네즈,10.0,2작은술
레몬즙,20.0,1⅓큰술
청양고추,5.0,1/2개
홍고추,5.0,1/2개
배추,70.0,1/10개
석류즙,10.0,2작은술
소금,5.0,1/2작은술
무,10.0,3cm
쪽파,10.0,1개
마늘,5.0,1작은술
생강,5.0,1작은술
새우젓국,15.0,1큰술
홍파프리카,10.0,1/10개
황파프리카,10.0,1/10개
청파프리카,10.0,1/10개
밀가루,25.0,2큰술
유자청,20.0,1⅓큰술
발사믹식초,10.0,2작은술
화이트와인,10.0,2작은술
대파,30.0,1개
자색고구마,10.0,3cm
무,10.0,2cm
배,80.0,1/4개
배추,200.0,1/3개
사과,80.0,1/3개
