INGR_NM,UNIT_NM,QUANTITY,GRAMS,CONV_WT
연두부,모,0.75,75.0,100.0
칵테일새우,마리,5.0,20.0,4.0
달걀,개,0.5,30.0,60.0
생크림,큰술,1.0,13.0,13.0
설탕,작은술,1.0,5.0,5.0
무염버터,작은술,1.0,5.0,5.0
시금치,줄기,3.0,10.0,3.3333333333333335
날콩가루,작은술,1.3333333333333333,7.0,5.25
저염간장,작은술,0.6666666666666666,3.0,4.5
대파,작은술,1.0,5.0,5.0
마늘,쪽,0.5,2.0,4.0
고춧가루,작은술,0.3333333333333333,2.0,6.0
요리당,작은술,0.3333333333333333,2.0,6.0
참기름,작은술,0.3333333333333333,2.0,6.0
방울토마토,개,5.0,150.0,30.0
부추,줄기,5.0,10.0,2.0
고춧가루,작은술,1.0,4.0,4.0
멸치액젓,작은술,0.6666666666666666,3.0,4.5
마늘,쪽,0.5,2.5,5.0
매실액,작은술,0.3333333333333333,2.0,6.0
설탕,작은술,0.3333333333333333,2.0,6.0
오이,개,0.3333333333333333,70.0,210.0
땅콩,큰술,1.0,10.0,10.0
순두부,봉지,0.125,40.0,320.0
사과,개,0.3333333333333333,50.0,150.0
북어채,개,15.0,25.0,1.6666666666666667
새우,마리,3.0,10.0,3.3333333333333335
사과,개,0.2,30.0,150.0
양파,개,0.25,40.0,160.0
표고버섯,장,2.0,20.0,10.0
콩나물,봉지,0.1666666666666666,30.0,180.00000000000006
저염된장,작은술,2.0,10.0,5.0
청양고추,개,0.5,5.0,10.0
마늘,작은술,0.3333333333333333,2.0,6.0
애느타리버섯,가닥,4.0,20.0,5.0
된장,작은술,1.0,5.0,5.0
멸치,마리,3.0,5.0,1.6666666666666667
국간장,작은술,1.0,5.0,5.0
청경채,개,1.0,20.0,20.0
표고버섯,장,2.0,20.0,10.0
마늘,작은술,0.3333333333333333,2.0,6.0
치커리,줄기,10.0,30.0,3.0
올리브유,작은술,2.0,10.0,5.0
식초,작은술,1.0,5.0,5.0
설탕,작은술,1.0,5.0,5.0
마늘,쪽,1.0,5.0,5.0
딸기,개,7.0,70.0,10.0
플레인요거트,개,1.0,85.0,85.0
양상추,장,2.0,70.0,35.0
메추리알,개,3.0,30.0,10.0
블루베리,큰술,1.0,15.0,15.0
감자,개,0.5,80.0,160.0
소스,작은술,1.0,5.0,5.0
아몬드,알,1.0,2.0,2.0
설탕,작은술,0.3333333333333333,2.0,6.0
우유,작은술,2.0,10.0,5.0
새송이버섯,개,7.0,70.0,10.0
