재료 이름,단위 이름,무게,상태
(속재료) 사과,개,250.0,
- 주재료 : 토막 낸 닭,닭고기살 무게 90g,170.0,
[주재료] 갈치(,토막,70.0,
[주재료] 감태 (,장,1.0,
g - 국물 : 다시마국물,건다시마 5g,100.0,
ghen,알,10.0,
·양념장 : 저염간장,작은술,4.5,
●간장 레몬 소스 : 저염간장,작은술,5.0,
●강그린 샐러드 : 양상추,장,40.0,건
●곁들임 : 치커리,줄기,3.33,
●그린매쉬드포테이토 : 감자,개,160.0,
●김치국물 : 귤,개,100.0,
●누룽지: 밥,공기,210.0,
●두부구이 : 두부,모,350.0,
●두부타르타르 소스 : 연두부,모,120.0,
●두유 드레싱 : 두유,2⅔큰술,40.0,
●두유요거트 소스 : 두유,3⅓큰술,50.0,
●드레싱 : 간장,1⅓큰술,20.0,
●드레싱 : 레몬즙,큰술,15.0,
●드레싱 : 올리브오일,큰술,12.5,
●레몬 들깨 소스: 들깨,큰술,15.0,가루
●레몬마요네즈 소스 : 마요네즈,작은술,5.0,
●마늘 드레싱 : 사과식초,큰술,15.0,
●멸치육수 : 국물용 멸치,마리,1.67,
●버섯구이 : 새송이버섯,개,10.0,
●불고기 양념 : 간장,작은술,4.5,
●브로콜리컬리플라워 샐러드 : 브로콜리,송이,200.0,
●소스 : 검정깨,작은술,5.0,
●소스 : 겨자분말,작은술,5.0,
●소스 : 고추장,작은술,5.0,
●소스 : 된장,큰술,15.0,
●소스 : 망고,개,100.0,
●소스 : 석류,개,400.0,
●소스 : 오렌지즙,큰술,15.0,
●소스 : 유자청,1⅓큰술,20.0,
●소스 :양파,개,200.0,
●양념 : 멥쌀,작은술,5.0,
●양념 : 무,cm,3.33,
●올리브마늘 드레싱 : 올리브유,작은술,5.0,
●요거트파르페: 오렌지,개,200.0,
●유자 드레싱 : 유자청,1⅔큰술,25.0,
●육수 : 다시마,cm,2.0,
●육수 : 닭,마리,550.0,
●육수 : 함초,작은술,6.0,
●육수 :뒤포리(밴댕이),개,10.0,
●장식 :  호두,큰술,15.0,다진
●장식 : 달걀,개,50.0,
●장식 : 대추,개,5.0,
●장식 : 대파,개,30.0,
