INGR_NM,UNIT_NM,CONV_WT,STD,MIN,MAX,SAMPLE_COUNT,TOLERANCE_PCT
ghen,알,10.0,0.0,10.0,10.0,1,10.0
가지,개,160.0,95.22,100.0,300.0,4,100.0
간장,작은술,4.25,0.35,4.0,4.5,2,16.5
간장,큰술,15.0,0.0,15.0,15.0,3,10.0
감자,개,130.0,42.43,100.0,160.0,2,65.3
강낭콩,작은술,5.0,0.0,5.0,5.0,1,10.0
검은깨,작은술,4.9,0.14,4.8,5.0,2,5.7
검정깨,작은술,5.0,0.0,5.0,5.0,1,10.0
겨자분말,작은술,5.0,0.0,5.0,5.0,1,10.0
계란,개,53.33,12.02,43.33,66.67,3,45.1
고구마,개,140.0,0.0,140.0,140.0,1,10.0
고추장,큰술,15.0,0.0,15.0,15.0,1,10.0
고추장,작은술,5.0,0.0,5.0,5.0,2,10.0
고춧가루,작은술,4.8,0.84,4.0,6.0,5,35.0
고춧가루,큰술,20.0,0.0,20.0,20.0,1,10.0
국간장,작은술,5.0,0.0,5.0,5.0,1,10.0
귤,개,100.0,0.0,100.0,100.0,1,10.0
김,장,4.0,0.0,4.0,4.0,1,10.0
깨,큰술,15.0,0.0,15.0,15.0,1,10.0
깻잎,장,1.0,0.0,1.0,1.0,1,10.0
꿀,작은술,6.0,0.0,6.0,6.0,1,10.0
꿀,큰술,15.0,0.0,15.0,15.0,1,10.0
날콩가루,작은술,5.25,0.0,5.25,5.25,1,10.0
노루궁뎅이버섯,개,50.0,0.0,50.0,50.0,1,10.0
단호박,개,320.0,0.0,320.0,320.0,1,10.0
달걀,개,51.25,3.42,50.0,60.0,16,13.3
달래,단,50.0,0.0,50.0,50.0,1,10.0
닭,마리,550.0,0.0,550.0,550.0,1,10.0
당근,개,166.67,28.87,150.0,200.0,3,34.6
대추,개,5.0,0.0,5.0,5.0,1,10.0
대파,개,30.0,0.0,30.0,30.0,1,10.0
대파,작은술,5.0,0.0,5.0,5.0,1,10.0
된장,작은술,5.0,0.0,5.0,5.0,1,10.0
된장,큰술,14.17,1.18,13.33,15.0,2,16.7
두릅,개,10.0,0.0,10.0,10.0,1,10.0
두부,모,357.5,33.04,320.0,400.0,4,18.5
두유,큰술,15.0,0.0,15.0,15.0,4,10.0
두유,컵,200.0,0.0,200.0,200.0,1,10.0
들기름,작은술,5.0,0.0,5.0,5.0,1,10.0
들깨가루,큰술,15.0,0.0,15.0,15.0,1,10.0
딸기,개,15.0,7.07,10.0,20.0,2,94.3
땅콩,알,1.0,0.0,1.0,1.0,1,10.0
땅콩,큰술,10.0,0.0,10.0,10.0,1,10.0
레드와인,큰술,15.0,0.0,15.0,15.0,1,10.0
레드치커리,줄기,3.33,0.0,3.33,3.33,1,10.0
레몬,작은술,5.0,0.0,5.0,5.0,1,10.0
레몬즙,작은술,5.3,0.97,4.5,7.0,5,36.6
레몬즙,큰술,15.0,0.0,15.0,15.0,2,10.0
마,개,90.0,0.0,90.0,90.0,1,10.0
마늘,쪽,4.75,0.5,4.0,5.0,4,21.1
마늘,작은술,5.43,0.53,5.0,6.0,7,19.5
마늘,개,5.0,0.0,5.0,5.0,4,10.0
마늘종,개,6.0,0.0,6.0,6.0,1,10.0
마요네즈,작은술,5.0,0.0,5.0,5.0,2,10.0
마요네즈,큰술,15.0,0.0,15.0,15.0,1,10.0
만두피,장,2.0,0.0,2.0,2.0,1,10.0
망고,개,100.0,0.0,100.0,100.0,1,10.0
매실액,작은술,5.5,0.71,5.0,6.0,2,25.8
매실원액,큰술,15.0,0.0,15.0,15.0,1,10.0
머스터드,작은술,4.5,0.0,4.5,4.5,1,10.0
메추리알,개,10.0,0.0,10.0,10.0,1,10.0
멥쌀,작은술,5.0,0.0,5.0,5.0,1,10.0
멸치,마리,1.67,0.0,1.67,1.67,1,10.0
멸치,개,6.0,0.0,6.0,6.0,1,10.0
멸치액젓,작은술,4.5,0.0,4.5,4.5,1,10.0
모시조개,컵,200.0,0.0,200.0,200.0,1,10.0
무,개,683.33,76.38,600.0,750.0,3,22.4
무염버터,작은술,5.0,0.0,5.0,5.0,1,10.0
물엿,작은술,4.5,0.0,4.5,4.5,1,10.0
물엿,컵,200.0,0.0,200.0,200.0,1,10.0
미니새송이버섯,개,8.57,0.0,8.57,8.57,1,10.0
밀가루,큰술,12.5,0.0,12.5,12.5,1,10.0
바나나,개,100.0,0.0,100.0,100.0,1,10.0
발사믹식초,작은술,5.0,0.0,5.0,5.0,1,10.0
발사믹식초,큰술,15.0,0.0,15.0,15.0,1,10.0
발사믹크레마,큰술,15.0,0.0,15.0,15.0,1,10.0
밥,컵,195.0,21.21,180.0,210.0,2,21.8
밥,공기,210.0,0.0,210.0,210.0,1,10.0
방울토마토,개,16.67,11.55,10.0,30.0,3,100.0
배,개,320.0,0.0,320.0,320.0,1,10.0
배추,개,633.33,57.74,600.0,700.0,3,18.2
백일송이버섯,컵,65.0,0.0,65.0,65.0,1,10.0
버터,작은술,5.33,0.0,5.33,5.33,1,10.0
베이컨,장,10.0,0.0,10.0,10.0,2,10.0
보라로즈케일,장,5.0,0.0,5.0,5.0,1,10.0
보리된장,큰술,15.0,0.0,15.0,15.0,1,10.0
부추,줄기,2.0,0.0,2.0,2.0,1,10.0
부침가루,큰술,15.0,0.0,15.0,15.0,1,10.0
북어채,개,1.67,0.0,1.67,1.67,1,10.0
브로콜리,송이,200.0,0.0,200.0,200.0,1,10.0
브로콜리,개,400.0,0.0,400.0,400.0,1,10.0
블루베리,큰술,15.0,0.0,15.0,15.0,2,10.0
비트,작은술,5.0,0.0,5.0,5.0,1,10.0
사과,개,182.86,43.86,150.0,250.0,7,48.0
사과식초,작은술,10.0,0.0,10.0,10.0,1,10.0
사과식초,큰술,15.0,0.0,15.0,15.0,1,10.0
사과즙,컵,600.0,0.0,600.0,600.0,1,10.0
새송이버섯,개,16.11,15.12,5.0,33.33,3,100.0
새우,마리,3.33,0.0,3.33,3.33,1,10.0
새우젓국,큰술,15.0,0.0,15.0,15.0,1,10.0
생강,작은술,5.0,0.0,5.0,5.0,1,10.0
생강즙,작은술,4.75,0.35,4.5,5.0,2,14.7
생크림,큰술,13.0,0.0,13.0,13.0,1,10.0
생크림,작은술,5.0,0.0,5.0,5.0,1,10.0
석류,개,400.0,0.0,400.0,400.0,1,10.0
석류즙,작은술,5.0,0.0,5.0,5.0,1,10.0
설탕,작은술,5.82,1.47,5.0,10.0,11,50.5
설탕,큰술,12.5,3.54,10.0,15.0,2,56.6
소금,작은술,6.33,3.21,4.0,10.0,3,100.0
소금,큰술,15.0,0.0,15.0,15.0,1,10.0
소스,작은술,5.0,0.0,5.0,5.0,1,10.0
소시지,개,25.0,7.07,20.0,30.0,2,56.6
순두부,모,240.0,0.0,240.0,240.0,1,10.0
순두부,봉지,320.0,0.0,320.0,320.0,1,10.0
슬라이스연어,장,15.0,0.0,15.0,15.0,1,10.0
시금치,줄기,3.33,0.0,3.33,3.33,1,10.0
시금치,개,100.0,0.0,100.0,100.0,1,10.0
식용유,작은술,7.5,3.54,5.0,10.0,2,94.4
식용유,큰술,15.0,0.0,15.0,15.0,2,10.0
식초,작은술,6.36,4.27,4.0,16.0,7,100.0
식초,큰술,15.0,0.0,15.0,15.0,3,10.0
실치,컵,40.0,0.0,40.0,40.0,1,10.0
쌀,컴,200.0,0.0,200.0,200.0,1,10.0
쌀뜨물,컵,200.0,0.0,200.0,200.0,1,10.0
쌀밥,컵,210.0,0.0,210.0,210.0,1,10.0
아몬드,알,1.83,0.24,1.67,2.0,2,26.2
아몬드,작은술,4.0,0.0,4.0,4.0,1,10.0
아스파라거스,개,45.0,0.0,45.0,45.0,1,10.0
애느타리버섯,가닥,5.0,0.0,5.0,5.0,1,10.0
애호박,개,46.67,0.0,46.67,46.67,1,10.0
양배추,개,300.0,0.0,300.0,300.0,1,10.0
양상추,장,36.67,2.89,35.0,40.0,3,15.8
양송이버섯,개,20.0,0.0,20.0,20.0,1,10.0
양파,개,195.0,77.24,120.0,300.0,4,79.2
양파,작은술,5.0,0.0,5.0,5.0,1,10.0
연두부,모,110.0,14.14,100.0,120.0,2,25.7
영콘,개,20.0,0.0,20.0,20.0,1,10.0
오렌지,개,200.0,0.0,200.0,200.0,2,10.0
오렌지즙,큰술,15.0,0.0,15.0,15.0,1,10.0
오미자물,컵,200.0,0.0,200.0,200.0,1,10.0
오이,개,152.5,53.77,80.0,210.0,4,70.5
오이고추,개,15.0,0.0,15.0,15.0,1,10.0
오이피클,작은술,5.0,0.0,5.0,5.0,1,10.0
올리고당,작은술,4.75,0.35,4.5,5.0,2,14.7
올리브오일,작은술,5.0,0.0,5.0,5.0,1,10.0
올리브오일,큰술,13.75,1.77,12.5,15.0,2,25.7
올리브유,작은술,5.25,0.5,5.0,6.0,4,19.0
올리브유,큰술,15.0,0.0,15.0,15.0,1,10.0
와사비,작은술,3.0,0.0,3.0,3.0,1,10.0
요거트,컵,200.0,0.0,200.0,200.0,1,10.0
요리당,작은술,6.0,0.0,6.0,6.0,1,10.0
요리당,큰술,15.0,0.0,15.0,15.0,1,10.0
우렁,큰술,12.5,0.0,12.5,12.5,1,10.0
우민찌,작은술,5.0,0.0,5.0,5.0,1,10.0
우유,큰술,15.0,0.0,15.0,15.0,1,10.0
우유,작은술,5.0,0.0,5.0,5.0,1,10.0
유자청,큰술,15.0,0.0,15.0,15.0,2,10.0
잣,알,1.0,0.0,1.0,1.0,1,10.0
잣,작은술,4.0,0.0,4.0,4.0,1,10.0
저염간장,작은술,4.5,0.5,4.0,5.0,3,22.2
저염된장,작은술,5.0,0.0,5.0,5.0,1,10.0
저염된장,큰술,15.0,0.0,15.0,15.0,1,10.0
저염소금,작은술,4.0,0.0,4.0,4.0,1,10.0
저염치즈,작은술,5.0,0.0,5.0,5.0,1,10.0
전분,작은술,5.0,0.0,5.0,5.0,1,10.0
쪽파,개,10.0,0.0,10.0,10.0,1,10.0
참기름,큰술,15.0,0.0,15.0,15.0,2,10.0
참기름,작은술,5.75,1.26,4.0,7.0,4,43.8
찹쌀,컵,210.0,0.0,210.0,210.0,1,10.0
청경채,개,16.25,5.3,12.5,20.0,2,65.2
청고추,개,20.0,0.0,20.0,20.0,1,10.0
청국장가루,작은술,5.0,0.0,5.0,5.0,1,10.0
청국장가루,큰술,10.0,0.0,10.0,10.0,1,10.0
청양고추,개,11.0,5.48,5.0,20.0,5,99.6
청파프리카,개,100.0,0.0,100.0,100.0,2,10.0
쳥양고추,개,9.0,0.0,9.0,9.0,1,10.0
치커리,줄기,3.22,0.19,3.0,3.33,3,11.8
카놀라유,작은술,4.5,0.0,4.5,4.5,2,10.0
칵테일새우,마리,4.0,0.0,4.0,4.0,1,10.0
컬리플라워,송이,120.0,0.0,120.0,120.0,1,10.0
케일,장,5.0,0.0,5.0,5.0,1,10.0
콩나물,봉지,180.0,0.0,180.0,180.0,1,10.0
크림치즈,작은술,5.0,0.0,5.0,5.0,1,10.0
키위,개,80.0,28.28,60.0,100.0,2,70.7
토마토,개,144.44,50.92,100.0,200.0,3,70.5
파,개,280.0,0.0,280.0,280.0,1,10.0
파,큰술,15.0,0.0,15.0,15.0,1,10.0
파프리카,개,100.0,0.0,100.0,100.0,1,10.0
표고버섯,개,10.83,3.82,7.5,15.0,3,70.5
표고버섯,장,10.0,0.0,10.0,10.0,2,10.0
풋고추,개,15.0,0.0,15.0,15.0,1,10.0
플레인요거트,개,77.5,10.61,70.0,85.0,2,27.4
플레인요거트,큰술,15.0,0.0,15.0,15.0,1,10.0
함초,작은술,6.0,0.0,6.0,6.0,1,10.0
해바라기씨,작은술,4.0,0.0,4.0,4.0,1,10.0
현미,컵,210.0,0.0,210.0,210.0,1,10.0
호두,알,6.0,0.0,6.0,6.0,1,10.0
호두,작은술,4.0,0.0,4.0,4.0,1,10.0
호두,큰술,15.0,0.0,15.0,15.0,1,10.0
호박,개,150.0,0.0,150.0,150.0,1,10.0
호박씨,작은술,4.0,0.0,4.0,4.0,1,10.0
홍고추,개,11.0,5.48,5.0,20.0,5,99.6
홍파프리카,개,100.0,0.0,100.0,100.0,2,10.0
화이트와인,작은술,5.0,0.0,5.0,5.0,1,10.0
황파프리카,개,97.78,3.85,93.33,100.0,3,7.9
후춧가루,작은술,4.0,0.0,4.0,4.0,1,10.0
흑임자,작은술,6.0,0.0,6.0,6.0,2,10.0
흰로즈케일,장,5.0,0.0,5.0,5.0,1,10.0
